Drug Name	Disease Name
Domperidone	Substance Withdrawal Syndrome|Hypotension|Pain|Dyspepsia|Trigeminal Neuralgia|Vomiting|Gastroesophageal Reflux|Central Nervous System Diseases|Hypotension, Orthostatic|Gastroenteritis|Parkinson Disease|Stomach Diseases|Tachycardia|Nausea|Gastroparesis|Migraine Disorders|Ulcer|Bradycardia
Potassium Iodide	Graves Disease|Thyrotoxicosis
Calcium, Dietary	Vitamin B 12 Deficiency|Hypertension|Rickets
Aromatase Inhibitors	Breast Neoplasms
Aclarubicin	Leukemia, Myeloid, Acute
copper bis(3,5-diisopropylsalicylate)	Liver Diseases, Parasitic|Diabetes Mellitus, Experimental
Halothane	Pain|Thrombosis|Status Epilepticus|Hypertension|Brain Injuries|Asthma|Status Asthmaticus|Tachycardia
Stanozolol	Angioedemas, Hereditary
Pantothenic Acid	Abnormalities, Drug-Induced|Neoplasms|Wounds, Nonpenetrating|Drug-Related Side Effects and Adverse Reactions|Neural Tube Defects|Prenatal Injuries
Ralitoline	Epilepsy, Tonic-Clonic
mecobalamin	Meniere Disease|Hyperplasia|Anemia, Macrocytic|Vitamin B 12 Deficiency|Anemia
Zimeldine	Psychomotor Disorders
resolvin D1	Pain|Colitis
resolvin D2	Colitis
polyethylene glycol monostearate	Hemolysis
niga-ichigoside F1	Pain
Gold Sodium Thiomalate	Arthritis, Rheumatoid
Magnesium	Seizures|Substance Withdrawal Syndrome|Acute Kidney Injury|Vasospasm, Intracranial|Torsades de Pointes|Tachycardia|Long QT Syndrome|Pain|Ventricular Fibrillation|Tachycardia, Ventricular|Cardiovascular Diseases|Hyperalgesia|Drug-Related Side Effects and Adverse Reactions|Tachycardia, Ectopic Atrial|Tachycardia, Supraventricular|Atrial Fibrillation|Kidney Diseases|Fasciculation|Arrhythmias, Cardiac|Coronary Vasospasm|Magnesium Deficiency|Cerebrovascular Disorders|Hypertension|Hemorrhage|Migraine Disorders
N-(4-(2-(8-cyano-1,3a,4,9b-tetrahydro(1)benzopyrano(3,4-c)pyrrol-2(3H)-yl)ethyl)phenyl)acetamide	Cocaine-Related Disorders
didemnins	Lymphoma
5,6-Dihydroxytryptamine	Hypotension
3-(2-ethylphenoxy)-1-(1,2,3,4-tetrahydronaphth-1-ylamino)-2-propanol oxalate	Heart Failure
N-methyl 2,2,3,3-tetramethylcyclopropane carboxamide	Seizures
Anthracyclines	Leukemia, Promyelocytic, Acute|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Neoplasms|Breast Neoplasms|Hodgkin Disease|Carcinoma, Ductal, Breast|Leukemia, Lymphoid|Wilms Tumor|Lymphoma
wogonin	Neoplasm Invasiveness|Gastrointestinal Neoplasms|Glioma|Leukemia|Pulmonary Edema|Acute Lung Injury|Neoplasms, Second Primary|Hemorrhage|Neoplasms, Experimental
Dynorphins	Hyperalgesia|Arrhythmias, Cardiac
Mitomycin	Pterygium|Postoperative Complications|Corneal Opacity|Adenocarcinoma|Neoplasm Metastasis|Hematuria|Lung Neoplasms|Stomach Neoplasms|Glaucoma, Open-Angle|Gastrointestinal Neoplasms|Breast Neoplasms|Cicatrix|Carcinoma|Carcinoma, Non-Small-Cell Lung|Ovarian Neoplasms|Neoplasms, Experimental|Esophageal Neoplasms|Colorectal Neoplasms|Hydronephrosis|Carcinoma, Transitional Cell|Prostatic Neoplasms|Urinary Bladder Neoplasms|Anus Neoplasms|Carcinoma, Squamous Cell|Liver Neoplasms|Pancreatic Neoplasms|Rectal Neoplasms|Recurrence|Corneal Diseases|Pelvic Pain|Neoplasms|Disease Progression|Glioblastoma|Colonic Neoplasms|Wounds and Injuries|Head and Neck Neoplasms
UM 747	Substance Withdrawal Syndrome
danqi piantang jiaonang	Anoxia|Myocardial Ischemia
Propylene Glycol	Seizures
timosaponin AIII	Learning Disorders|Memory Disorders
1-hydroxy-3-amino-2-pyrrolidone	Hyperkinesis|Seizures|Cocaine-Related Disorders|Tremor
rizatriptan	Photophobia|Migraine without Aura|Hyperalgesia|Hyperacusis|Migraine Disorders|Nausea
3,3-difluorochlorambucil	Sarcoma, Experimental
lumefantrine	Malaria
1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester	Colonic Neoplasms|Necrosis
SPD 502	Epilepsy|Pain
Cyclodextrins	Ataxia|Neurotoxicity Syndromes|Organophosphate Poisoning
2,2'-dithiodiethanesulfonic acid	Kidney Diseases|Urinary Bladder Neoplasms
angiotensin II, Sar(1)-Thr(8)-	Hypertension
amcinonide	Psoriasis|Edema|Eczema
CVAD protocol	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma|Breast Neoplasms|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Lymphoma, T-Cell|Precursor Cell Lymphoblastic Leukemia-Lymphoma
arctiin	Glomerulonephritis|Precancerous Conditions
Cyclohexanes	Seizures
myricitrin	Hepatomegaly|Atherosclerosis|Weight Loss|Drug-Induced Liver Injury
entecavir	Liver Failure, Acute|Hepatitis B, Chronic|Hepatitis B
fluperlapine	Psychoses, Substance-Induced
3'-fluoro-2',3'-dideoxyguanosine	Hepatitis B
Almitrine	Respiratory Insufficiency
thymalfasin	Mammary Neoplasms, Experimental
tenidap	Arthritis, Rheumatoid
Tolazoline	Hypertension, Pulmonary|Persistent Fetal Circulation Syndrome|Anoxia|Myoclonus
Etorphine	Pain
Ortho Evra	Dysmenorrhea
phenylalanyl-prolyl-arginine chloromethyl ketone-thrombin	Thrombosis
Fibric Acids	Metabolic Syndrome X|Hyperlipidemias|Hyperlipoproteinemia Type II|Hypercholesterolemia|Atherosclerosis|Renal Insufficiency|Hypertriglyceridemia|Liver Diseases, Alcoholic|Inflammation|Hyperlipoproteinemia Type III|Hyperlipoproteinemias|Coronary Disease|Liver Cirrhosis, Biliary|Weight Gain|Dyslipidemias|Diabetes Mellitus, Type 2
SN50 peptide	Leukemia|Retinoblastoma
geraniol	Seizures|Neoplasms|Colonic Neoplasms|Neurobehavioral Manifestations|Hypokinesia|Catatonia
Phenylmercuric Acetate	Fusariosis
guanxin No. 2	Myocardial Infarction
Triprolidine	Rhinitis|Sinusitis|Melanoma|Shock, Septic
1-aminobenzotriazole	Vestibular Diseases|Acute Kidney Injury|Neurobehavioral Manifestations|Necrosis|Drug-Induced Liver Injury
dronedarone	Atrial Fibrillation|Tachycardia|Arrhythmias, Cardiac
5-methylcytidine	Mammary Neoplasms, Animal|Neoplasms, Experimental
5-methoxypsoralen	Psoriasis
ethyl pyruvate	Inflammation|Infarction
Ryanodine	Substance-Related Disorders|Torsades de Pointes|Tachycardia, Ventricular|Arrhythmias, Cardiac
dragon's blood	Hyperalgesia|Edema
fraxinellone	Diarrhea|Weight Loss|Colitis
N-(1-methyl-2-phenylethyl)adenosine	Status Epilepticus|Nerve Degeneration
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	Parkinsonian Disorders
Norfloxacin	Pyelonephritis|Bacteriuria|Urinary Tract Infections|Urethritis|Liver Cirrhosis, Alcoholic|Proteus Infections|Cystitis|Gonorrhea|Pyuria|Pseudomonas Infections
Proanthocyanidins	Kidney Diseases|Psychomotor Disorders|Heart Diseases
3-(2-(4-(3-chloro-2-methylphenyl)1-piperazinyl)ethyl)5,6-dimethoxy-1-(4-imidazolylmethyl)-1H-indazol dihydrochloride 3.5 hydrate	Brain Edema
anethole	Gastrointestinal Diseases|Paralysis|Thrombosis|Inflammation|Neoplasm Metastasis|Stomach Ulcer|Carcinoma, Ehrlich Tumor
Cytosine	Precursor Cell Lymphoblastic Leukemia-Lymphoma|Lymphoma, B-Cell
Chlorisondamine	Seizures|Hypertension|Bradycardia
Acridine Orange	Melanoma|Neuroblastoma
Daunorubicin	Seizures|Lymphoma, Non-Hodgkin|Cholestasis|Burkitt Lymphoma|Carcinoma, Hepatocellular|Leukoencephalopathies|Cardiomyopathies|Leukemia, Erythroblastic, Acute|Leukemia, Plasma Cell|Leukemia, Myeloid, Acute|Peripheral Nervous System Diseases|Leukemia|Precursor B-Cell Lymphoblastic Leukemia-Lymphoma|Leukemia, Promyelocytic, Acute|Hematologic Neoplasms|Leukemia, Experimental|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Brain Neoplasms|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma|Neoplasms|Brain Edema|Tauopathies
PH 797804	Pulmonary Disease, Chronic Obstructive
Ancrod	Thrombocytopenia|Thrombosis|Cerebral Infarction
idoxifene	Liver Cirrhosis, Experimental
Fenfluramine	Pain|Hyperkinesis|Movement Disorders|Insulin Resistance|Hypertension|Catatonia|Cocaine-Related Disorders|Obesity|Catalepsy
geranylgeranylacetone	Hearing Loss|Hydronephrosis|Cleft Palate|Stomach Ulcer|Gastrointestinal Diseases
epoetin beta	Anemia
ReN 1869	Hyperalgesia
Morpholines	Renal Colic
Ouabain	Vestibular Diseases|Heart Failure
Sodium Chloride	Seizures|Acute Kidney Injury|Leishmaniasis, Cutaneous|Kidney Diseases|Epilepsy, Tonic-Clonic|Tachycardia, Ventricular|Hypercalcemia|Drug-Related Side Effects and Adverse Reactions|Ventricular Fibrillation|Polyuria|Hyponatremia|Sick Sinus Syndrome|Arrhythmias, Cardiac
N-(3-(4-chlorophenyl)-2-(3-cyanophenyl)-1-methylpropyl)-2-methyl-2-((5-(trifluoromethyl)pyridin-2-yl)oxy)propanamide	Obesity
Praziquantel	Hymenolepiasis|Intestinal Diseases, Parasitic|Opisthorchiasis|Liver Cirrhosis, Experimental|Helminthiasis|Nematode Infections|Schistosomiasis mansoni|Cestode Infections|Taeniasis|Giardiasis|Trematode Infections|Intracranial Hypertension|Dog Diseases|Schistosomiasis japonica|Diphyllobothriasis|Neurocysticercosis|Liver Cirrhosis|Schistosomiasis
caraway oil	Pain|Dyspepsia|Inflammation
pargolol	Tachycardia|Hypotension|Arrhythmias, Cardiac
Clotrimazole	Brain Neoplasms|Carcinoma, Lewis Lung|Colonic Neoplasms|Adenocarcinoma|Malaria, Falciparum|Neoplasm Metastasis|Lung Neoplasms
drotebanol	Cough
bacampicillin	Furunculosis|Pneumonia|Cellulitis|Pyomyositis
1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole	Pancreatic Neoplasms
dehydroeburicoic acid	Glioblastoma
palm oil	Acute Kidney Injury|Diabetes Mellitus, Experimental|Proteinuria|Diabetic Nephropathies|Hyperglycemia|Diabetes Mellitus, Type 1
Oviol	Dysmenorrhea
Prostaglandin D2	Vasculitis|Neuralgia|Catalepsy|Immune Complex Diseases
fructus schizandrae, radix ginseng, radix ophiopogonis drug combination	Myocarditis|Cardiomyopathies|Carotid Artery Diseases
nitroflurbiprofen	Hypertension, Portal|Encephalomyelitis, Autoimmune, Experimental|MPTP Poisoning|Thromboembolism|Nerve Degeneration
Megestrol Acetate	Breast Neoplasms|Neoplasms, Hormone-Dependent|Endometrial Neoplasms
idraparinux	Embolism and Thrombosis
Ribomunyl	Rhinitis|Dermatitis, Atopic|Asthma|Otitis Media|Respiratory Tract Infections|Bronchitis, Chronic|Nasopharyngitis|Wounds and Injuries|Recurrence|Occupational Diseases|Pulmonary Disease, Chronic Obstructive|Laryngopharyngeal Reflux|Otorhinolaryngologic Diseases|Tonsillitis|Arthritis, Experimental
VMP protocol	Hodgkin Disease
A-836339	Hyperplasia
7-hydroxystaurosporine	Breast Neoplasms
8-fluoroidarubicin	Ovarian Neoplasms
Ruthenium Red	Pain|Edema|Diarrhea|Vomiting|Hemorrhage|Hyperemia|Respiration Disorders
Lithium Carbonate	Psychoses, Substance-Induced|Herpes Genitalis|Photophobia|Dyskinesias|Headache Disorders, Primary|Leukopenia|Meniere Disease|Glomerulosclerosis, Focal Segmental|Thyrotoxicosis|Hyperkinesis|Sleep Initiation and Maintenance Disorders|Dysgeusia|Aphasia|Proteinuria|Herpes Simplex|Hallucinations|Psychomotor Agitation|Migraine Disorders|Memory Disorders|Felty Syndrome
Cysteic Acid	Seizures|Poisoning
Vitamin K 1	Hematoma|Cerebral Hemorrhage
ONCOFID-S	Neoplasm Metastasis|Colorectal Neoplasms|Peritoneal Neoplasms|Carcinoma|Neoplasms, Experimental
bitolterol	Asthma
alovudine	Hepatitis B
tizanidine	Seizures|Muscle Spasticity|Low Back Pain|Edema|Trigeminal Neuralgia|Back Pain|Hyperalgesia|Hypertension|Pain|Stomach Ulcer
Nitrazepam	Seizures|Seizures, Febrile|Epilepsy|Apnea|Sleep Disorders
anandamide	Ataxia|Hyperalgesia|Pain
W 7	Seizures
4-(4'-chlorobenzyloxy)benzyl nicotinate	Hypercholesterolemia|Hypertriglyceridemia
Fluocinonide	Psoriasis|Dermatitis, Allergic Contact|Dermatitis, Atopic
nalmefene	Alcoholism
Indapamide	Diabetes Complications|Sleep Disorders|Hypercalciuria|Albuminuria|Hypokalemia|Syncope|Edema|Kidney Diseases|Urinary Calculi|Hypertrophy, Left Ventricular|Meniere Disease|Hypertension|Diabetes Mellitus|Brain Ischemia
bufuralol	Tachycardia
HhAntag691	Small Cell Lung Carcinoma|Carcinoma, Non-Small-Cell Lung|Carcinoma, Basal Cell
laurocapram	Psoriasis
picropodophyllin	Multiple Myeloma
hemoglobin XL99alpha	Shock, Hemorrhagic
pegaspargase	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
Lymecycline	Helicobacter Infections
menatetrenone	Liver Neoplasms, Experimental
FLMP protocol	Stomach Neoplasms
VEP-THP protocol	Lymphoma
metocurine	Muscle Rigidity
arsenic disulfide	Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Leukemia, Promyelocytic, Acute
Betamethasone	Leukomalacia, Periventricular|Psoriasis|Dermatitis, Atopic|Respiratory Distress Syndrome, Newborn|Low Back Pain|Hemangioma|Pain|Pruritus|Tauopathies|Pre-Eclampsia|Obstetric Labor, Premature|Bronchopulmonary Dysplasia|Respiratory Tract Infections|Friedreich Ataxia|Eosinophilia|Acne Vulgaris|Eyelid Neoplasms|Dermatitis, Allergic Contact|Arthritis, Rheumatoid|Tietze's Syndrome|Arthritis, Experimental
etiracetam	Seizures|Dyskinesia, Drug-Induced|Substance Withdrawal Syndrome|Epilepsy, Tonic-Clonic|Status Epilepticus|Epilepsy|Epilepsy, Temporal Lobe|Movement Disorders|Epilepsy, Complex Partial|Vomiting|Epilepsy, Absence|Chorea|Myoclonic Epilepsy, Juvenile|Amnesia|Disease Models, Animal|Brain Injuries|Unverricht-Lundborg Syndrome|Epilepsies, Partial|Tremor|Tourette Syndrome
Carnitine	Acute Kidney Injury|Lymphoma, Non-Hodgkin|Hyperammonemia|Liver Failure, Acute|Mitochondrial Myopathies|Cardiomyopathies|Fibrosis|Hepatic Encephalopathy|Liver Cirrhosis, Experimental|Cardiomegaly|Peripheral Nervous System Diseases|Drug Overdose|Drug-Related Side Effects and Adverse Reactions|Myocardial Infarction|Muscular Diseases|Hearing Disorders|Prenatal Injuries|Drug-Induced Liver Injury|Liver Neoplasms|Fanconi Syndrome|Mitochondrial Diseases|Hypertension|Heart Diseases
Chalcone	Neoplasm Invasiveness|Breast Neoplasms|Lung Neoplasms
ST 679	Ileitis
BMS 181339	Adenocarcinoma, Clear Cell|Adenocarcinoma, Mucinous|Liver Neoplasms|Neoplasm Metastasis|Lung Neoplasms|Ovarian Neoplasms
SC 41930	Edema
1-UFT protocol	Neoplasm Metastasis|Breast Neoplasms|Colorectal Neoplasms
Dihematoporphyrin Ether	Neoplasms|Urinary Bladder Neoplasms
TAK-875	Diabetes Mellitus, Type 2
J 113397	Hypokinesia
Epimestrol	Infertility, Female
2,4,6-trihydroxyacetophenone	Cholestasis
2,3-bis(3'-hydroxybenzyl)butane-1,4-diol	Breast Neoplasms|Neovascularization, Pathologic
nilvadipine	Kidney Diseases|Hypertension|Brain Ischemia
fazadinium	Fasciculation
Olopatadine Hydrochloride	Rhinitis, Allergic, Seasonal|Sneezing|Anaphylaxis|Conjunctivitis, Allergic
N-7-(2-(nitrophenyldithio)ethyl)mitomycin C	Neoplasms
veliparib	Breast Neoplasms|Colonic Neoplasms|Adenocarcinoma|Melanoma
Thiadiazoles	Seizures
vinflunine	Breast Neoplasms
6-ethylchenodeoxycholic acid	Liver Cirrhosis, Experimental|Hemorrhage|Weight Loss|Ulcer|Colitis
Cyclazocine	Cocaine-Related Disorders|Catalepsy
Semustine	Neoplasm Metastasis|Sarcoma, Experimental|Liver Neoplasms|Neoplasms, Experimental
Methimazole	Abnormalities, Drug-Induced|Hyperthyroidism|Goiter|Liver Diseases|Cardiomegaly|Necrosis|Epilepsy|Renal Insufficiency|Prenatal Exposure Delayed Effects|Pancytopenia|Cardiomyopathies|Hypertension|Drug-Induced Liver Injury|Graves Disease|Craniofacial Abnormalities|Thyrotoxicosis|Nails, Malformed|Skin Abnormalities
2',3'-dideoxycytidine 5'-triphosphate	Bone Marrow Diseases
nicainoprol	Myocardial Reperfusion Injury|Arrhythmias, Cardiac
Fibrinopeptide B	Catalepsy
MRZ 2-576	Seizures
Dehydroepiandrosterone Sulfate	Morphine Dependence|Substance Withdrawal Syndrome|Fatty Liver|Amnesia
ONO-LB 457	Pruritus
Melatonin	Lupus Erythematosus, Systemic|Cholestasis|Vasospasm, Intracranial|Carbon Tetrachloride Poisoning|Brain Injuries|Photophobia|Fetal Growth Retardation|Amyotrophic Lateral Sclerosis|Shock, Hemorrhagic|Cardiovascular Diseases|Carcinoma, Ehrlich Tumor|Precancerous Conditions|Myocardial Infarction|Sleep Disorders, Circadian Rhythm|Infant, Newborn, Diseases|Prostatic Neoplasms|Brain Diseases|Stomach Ulcer|Sepsis|Colonic Neoplasms|Anemia|Osteoporosis|Seizures|Learning Disorders|Sciatic Neuropathy|Movement Disorders|Neurodegenerative Diseases|Lung Neoplasms|Liver Cirrhosis, Experimental|Adenoma|Hearing Loss|Prolactinoma|Memory Disorders|Leukopenia|Peritonitis|Drug-Induced Liver Injury|Aortic Diseases|Alzheimer Disease|Edema|Neoplasms|Liver Diseases|Hypertension|Fatty Liver|Neurotoxicity Syndromes|Sleep Initiation and Maintenance Disorders|Infarction, Middle Cerebral Artery|Metabolic Syndrome X|Fetal Death|Inflammation|Neoplasm Metastasis|Fibrosis|Liver Neoplasms, Experimental|Peripheral Nervous System Diseases|Endomyocardial Fibrosis|Testicular Diseases|Liver Cirrhosis|Colitis|Sleep Disorders|Kidney Diseases|Parkinson Disease, Secondary|Prenatal Injuries|Cataract|Pancreatitis|Hyperlipidemias|Cholangiocarcinoma|Shock, Septic|Mammary Neoplasms, Experimental|Asphyxia|Gastrointestinal Diseases|Amnesia|Immune System Diseases|Cardiomyopathies|Adenocarcinoma|Nerve Degeneration|Malformations of Cortical Development|Parkinsonian Disorders|Nervous System Diseases|Thyrotoxicosis|Dyskinesia, Drug-Induced|Cardiomegaly|Myocardial Ischemia|Cystitis|Drug-Related Side Effects and Adverse Reactions|Hyperhomocysteinemia|Jet Lag Syndrome|Necrosis|Brain Ischemia|Hyperalgesia|Urinary Bladder Diseases|Catalepsy|Porphyria, Acute Intermittent|Brain Edema|Migraine Disorders|Proteinuria|Mercury Poisoning, Nervous System|Heart Diseases
Cromolyn Sodium	Seizures|Asthma|Edema|Diabetes Mellitus, Experimental|Necrosis|Shock, Septic|Cardiomyopathies|Angioedema|Anaphylaxis|Cardiomegaly|Hypersensitivity|Obesity|Heart Diseases|Drug-Related Side Effects and Adverse Reactions
Phycocyanin	Atrophy|Lymphatic Diseases|Drug-Induced Liver Injury
8-prenylnaringenin	Hot Flashes
ALL-BFM-95 protocol	Precursor Cell Lymphoblastic Leukemia-Lymphoma|Leukemia
ONO 8711	Carcinoma, Ductal, Breast|Mammary Neoplasms, Animal|Hyperalgesia|Adenocarcinoma|Mammary Neoplasms, Experimental
thiosemicarbazide	Respiratory Insufficiency
Metyrapone	Seizures|Substance Withdrawal Syndrome|Learning Disorders|Hypertension|Drug-Induced Liver Injury|Cushing Syndrome|Cocaine-Related Disorders|Memory Disorders
pyridoxal phosphate gamma-aminobutyric acid	Seizures|Epilepsy|Disease Models, Animal
fulvestrant	Neoplasm Invasiveness|Breast Neoplasms|Nerve Degeneration|Hypertrophy
Imatinib Mesylate	Neuroectodermal Tumors, Primitive, Peripheral|Thyroid Neoplasms|Fibromatosis, Aggressive|Neoplasm Metastasis|Thrombocythemia, Essential|Stomach Neoplasms|Liver Cirrhosis, Experimental|Gastrointestinal Neoplasms|Mesothelioma|Leukemia|Breast Neoplasms|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Liver Cirrhosis|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Prostatic Neoplasms|Glomerulonephritis|Osteolysis|Leukemia, Myeloid|Necrosis|Gastrointestinal Stromal Tumors|Blast Crisis|Bone Neoplasms|Leukemia, Experimental|Glioma|Edema|Neoplasms|Muscular Dystrophy, Animal|Proteinuria|Small Cell Lung Carcinoma|Neoplasms, Hormone-Dependent
sirtinol	Liver Diseases|Lung Injury
cytisine	Tobacco Use Disorder
xuezhikang	Fatty Liver|Dyslipidemias
Pregnanolone	Seizures|Peripheral Nervous System Diseases|Hyperkinesis|Diabetic Neuropathies|Hyperalgesia|Cocaine-Related Disorders|Nerve Degeneration|Brain Injuries|Memory Disorders
arsenic trisulfide	Leukemia, Myeloid, Acute
1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile	Hyperkinesis
Succinates	Coma|Acidosis|Hypercapnia
Polyamines	Colorectal Neoplasms
methylarsine oxide	Leukemia, Lymphocytic, Chronic, B-Cell
caramiphen	Parkinson Disease|Seizures|Tremor
pyridoxal phosphate-6-azophenyl-2',4'-disulfonic acid	Hyperalgesia|Pain|Spinal Cord Injuries
Idoxuridine	Colonic Neoplasms
gemtuzumab	Leukemia, Myeloid, Acute|Recurrence|Leukemia, Promyelocytic, Acute
Azathioprine	Multiple Sclerosis, Relapsing-Remitting|Dermatomyositis|Proctocolitis|Postoperative Complications|Graft vs Host Disease|Polymyositis|Hepatitis C|Immune System Diseases|Proteinuria|Inflammation|Hepatitis, Chronic|Colitis, Ulcerative|Microscopic Polyangiitis|Psoriasis|Nephritis|Familial Mediterranean Fever|Behcet Syndrome|Lupus Nephritis|Arthritis|Leukemia|Glomerulonephritis, IGA|Giant Cell Arteritis|Endophthalmitis|Dilatation, Pathologic|Pemphigus, Benign Familial|Pemphigoid, Bullous|Cushing Syndrome|Ventricular Dysfunction|Hepatitis C, Chronic|Multiple Sclerosis|Cardiomyopathy, Dilated|Neoplasms, Experimental|Inflammatory Bowel Diseases|Glomerulonephritis|Myocarditis|Autoimmune Diseases|Lupus Erythematosus, Discoid|Kidney Diseases|Renal Insufficiency|Myasthenia Gravis|Celiac Disease|Pemphigus|Hepatitis, Autoimmune|Drug-Induced Liver Injury|Neoplasms|Panniculitis, Lupus Erythematosus|Malabsorption Syndromes|Churg-Strauss Syndrome|Crohn Disease|Scleroderma, Systemic|Synovitis|Scleroderma, Diffuse|Heart Failure|Isaacs Syndrome|Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis|Angioedema|Muscle Weakness|Arthritis, Rheumatoid|Vasculitis|Lupus Erythematosus, Systemic|Wegener Granulomatosis
Metaproterenol	Emphysema|Adams-Stokes Syndrome|Atrioventricular Block|Asthma|Bradycardia
2,5-di-(2-phenethyl)pyrrolidine	Amphetamine-Related Disorders
Tinidazole	Peptic Ulcer|Splenic Diseases|Amebiasis|Helicobacter Infections|Entamoebiasis
